Station;StartedTrips
W 21 St & 6 Ave;22212
1 Ave & E 68 St;16805
University Pl & E 14 St;16551
Broadway & W 58 St;15564
W 31 St & 7 Ave;14626
6 Ave & W 33 St;14517
West St & Chambers St;14419
E 33 St & 1 Ave;14344
Broadway & E 14 St;14137
8 Ave & W 16 St;14103
Broadway & E 21 St;13694
E 40 St & Park Ave;13670
11 Ave & W 41 St;13547
E 17 St & Broadway;13424
Cleveland Pl & Spring St;13362
Broadway & W 25 St;13292
9 Ave & W 22 St;13278
8 Ave & W 33 St;13146
W 41 St & 8 Ave;13090
Ave A & E 14 St;12945
Lafayette St & E 8 St;12815
W 22 St & 10 Ave;12483
8 Ave & W 31 St;12212
Grand St & Elizabeth St;11840
Columbus Ave & W 72 St;11825
Clinton St & Grand St;11676
W 20 St & 10 Ave;11508
8 Ave & W 38 St;11493
W 43 St & 10 Ave;11400
1 Ave & E 78 St;11136
W 54 St & 11 Ave;11132
W 15 St & 6 Ave;10964
3 Ave & E 62 St;10905
W 27 St & 7 Ave;10886
E 55 St & 2 Ave;10855
E 16 St & Irving Pl;10852
W 13 St & 5 Ave;10767
Broadway & W 29 St;10725
Norfolk St & Broome St;10723
W 18 St & 6 Ave;10652
1 Ave & E 16 St;10619
9 Ave & W 18 St;10592
St Marks Pl & 2 Ave;10574
6 Ave & W 34 St;10567
W 13 St & 7 Ave;10525
E 1 St & 1 Ave;10502
1 Ave & E 18 St;10486
E 30 St & Park Ave S;10484
E 13 St & 2 Ave;10477
West End Ave & W 60 St;10397
Amsterdam Ave & W 73 St;10373
Canal St & Rutgers St;10348
10 Ave & W 28 St;10343
E 16 St & 5 Ave;10343
Washington Square E;10327
W 30 St & 10 Ave;10239
2 Ave & E 31 St;10115
Great Jones St;10079
Forsyth St\t& Grand St;10047
4 Ave & E 12 St;9983
2 Ave & E 29 St;9976
W 42 St & 6 Ave;9883
W 67 St & Broadway;9861
Lexington Ave & E 24 St;9842
Broadway & W 41 St;9829
1 Ave & E 6 St;9774
Amsterdam Ave & W 79 St;9705
West St & Liberty St;9683
Lafayette St & Jersey St;9534
W 4 St & 7 Ave S;9481
W 44 St & 11 Ave;9473
E 85 St & 3 Ave;9457
E 44 St & Lexington Ave;9396
E 10 St & Avenue A;9390
W 24 St & 7 Ave;9380
E 20 St & 2 Ave;9366
Suffolk St & Stanton St;9341
E 2 St & Avenue B;9340
W 26 St & 8 Ave;9319
E 72 St & York Ave;9279
North Moore St & Greenwich St;9272
W 20 St & 7 Ave;9229
W 22 St & 8 Ave;9223
Broadway & E 19 St;9214
W 70 St & Amsterdam Ave;9180
1 Ave & E 62 St;9157
2 Ave & E 72 St;9045
