J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;0;0;0;0;0;0;2187;1784;0;1 Ave & E 110 St
0;0;0;0;0;0;0;0;0;6814;5575;0;1 Ave & E 16 St
0;0;0;0;0;0;0;0;0;6510;5525;0;1 Ave & E 18 St
0;0;0;0;0;0;0;0;0;3977;3859;0;1 Ave & E 30 St
0;0;0;0;0;0;0;0;0;4916;3913;0;1 Ave & E 39 St
0;0;0;0;0;0;0;0;0;3040;2481;0;1 Ave & E 44 St
0;0;0;0;0;0;0;0;0;6523;5181;0;1 Ave & E 6 St
0;0;0;0;0;0;0;0;0;8998;1593;0;1 Ave & E 62 St
0;0;0;0;0;0;0;0;0;10100;8624;0;1 Ave & E 68 St
0;0;0;0;0;0;0;0;0;7035;5760;0;1 Ave & E 78 St
0;0;0;0;0;0;0;0;0;1970;1359;0;1 Ave & E 94 St
0;0;0;0;0;0;0;0;0;1429;1227;0;1 Pl & Clinton St
0;0;0;0;0;0;0;0;0;1260;1123;0;1 St & 6 Ave
0;0;0;0;0;0;0;0;0;6326;4689;0;10 Ave & W 14 St
0;0;0;0;0;0;0;0;0;51;45;0;10 Ave & W 202 St
0;0;0;0;0;0;0;0;0;74;88;0;10 Ave & W 204 St
0;0;0;0;0;0;0;0;0;272;214;0;10 Ave & W 207 St
0;0;0;0;0;0;0;0;0;160;96;0;10 Ave & W 215 St
0;0;0;0;0;0;0;0;0;7036;5561;0;10 Ave & W 28 St
0;0;0;0;0;0;0;0;0;751;671;0;10 St & 2 Ave
0;0;0;0;0;0;0;0;0;1459;1056;0;10 St & 5 Ave
0;0;0;0;0;0;0;0;0;2518;2090;0;10 St & 7 Ave
0;0;0;0;0;0;0;0;0;894;788;0;11 Ave & Prospect Ave
0;0;0;0;0;0;0;0;0;5732;4072;0;11 Ave & W 27 St
0;0;0;0;0;0;0;0;0;8611;7686;0;11 Ave & W 41 St
0;0;0;0;0;0;0;0;0;4500;3537;0;11 Ave & W 59 St
0;0;0;0;0;0;0;0;0;555;293;0;11 St & 43 Ave
0;0;0;0;0;0;0;0;0;299;222;0;12 Ave & 36 St
0;0;0;0;0;0;0;0;0;2198;1676;0;12 Ave & W 125 St
0;0;0;0;0;0;0;0;0;8354;5688;0;12 Ave & W 40 St
0;0;0;0;0;0;0;0;0;1114;989;0;12 St & 4 Ave
0;0;0;0;0;0;0;0;0;1642;1424;0;14 St & 5 Ave
0;0;0;0;0;0;0;0;0;1736;1470;0;14 St & 7 Ave
0;0;0;0;0;0;0;0;0;704;597;0;16th St & 4th Ave
0;0;0;0;0;0;0;0;0;1258;1074;0;17 St & 5 Ave
0;0;0;0;0;0;0;0;0;965;907;0;18 St & 27 Ave
0;0;0;0;0;0;0;0;0;877;612;0;19 St & 24 Ave
0;0;0;0;0;0;0;0;0;255;277;0;19 St & 8 Ave
0;0;0;0;0;0;0;0;0;121;22;0;2 Av & 37 St
0;0;0;0;0;0;0;0;0;148;153;0;2 Ave & 32 St
0;0;0;0;0;0;0;0;0;437;279;0;2 Ave & 36 St
0;0;0;0;0;0;0;0;0;182;137;0;2 Ave & 39 St
0;0;0;0;0;0;0;0;0;1709;1393;0;2 Ave & E 104 St
0;0;0;0;0;0;0;0;0;954;936;0;2 Ave & E 122 St
0;0;0;0;0;0;0;0;0;1012;842;0;2 Ave & E 125 St
0;0;0;0;0;0;0;0;0;6978;5016;0;2 Ave & E 29 St
0;0;0;0;0;0;0;0;0;6983;5259;0;2 Ave & E 31 St
0;0;0;0;0;0;0;0;0;891;0;0;2 Ave & E 55 St
0;0;0;0;0;0;0;0;0;5600;4995;0;2 Ave & E 72 St
0;0;0;0;0;0;0;0;0;2694;2879;0;2 Ave & E 96 St
