Station;RoundingTrips
1 Ave & E 110 St;0
1 Ave & E 16 St;0
1 Ave & E 18 St;0
1 Ave & E 30 St;0
1 Ave & E 39 St;0
1 Ave & E 44 St;0
1 Ave & E 6 St;0
1 Ave & E 62 St;0
1 Ave & E 68 St;0
1 Ave & E 78 St;0
1 Ave & E 94 St;0
1 Pl & Clinton St;0
1 St & 6 Ave;0
10 Ave & W 14 St;0
10 Ave & W 202 St;0
10 Ave & W 204 St;0
10 Ave & W 207 St;0
10 Ave & W 215 St;0
10 Ave & W 28 St;0
10 St & 2 Ave;0
10 St & 5 Ave;0
10 St & 7 Ave;0
11 Ave & Prospect Ave;0
11 Ave & W 27 St;0
11 Ave & W 41 St;0
11 Ave & W 59 St;0
11 St & 43 Ave;0
12 Ave & 36 St;0
12 Ave & W 125 St;0
12 Ave & W 40 St;0
12 St & 4 Ave;0
14 St & 5 Ave;0
14 St & 7 Ave;0
16th St & 4th Ave;0
17 St & 5 Ave;0
18 St & 27 Ave;0
19 St & 24 Ave;0
19 St & 8 Ave;0
2 Av & 37 St;0
2 Ave & 32 St;0
2 Ave & 36 St;0
2 Ave & 39 St;0
2 Ave & E 104 St;0
2 Ave & E 122 St;0
2 Ave & E 125 St;0
2 Ave & E 29 St;0
2 Ave & E 31 St;0
2 Ave & E 55 St;0
2 Ave & E 72 St;0
2 Ave & E 96 St;0
2 Ave & E 99 St;0
20 Ave & 21 St;0
20 Ave & 31 St;0
20 Ave & 38 St;0
20 Ave & 42 St;0
20 Ave & 48 St;0
20 Ave & Shore Blvd;0
21 Ave & 80 St;0
21 Ave & Crescent St;0
21 Ave & Shore Blvd;0
21 St & 21 Ave;0
21 St & 23 Ave;0
21 St & 31 Dr;0
21 St & 36 Ave;0
21 St & 38 Ave;0
21 St & 4 Ave;0
21 St & 43 Ave;0
21 St & Hoyt Ave S;0
21 St & Queens Plaza North;0
23 Ave & 27 St;0
23 Rd & 31 St;0
23 St & 3 Ave;0
24 Ave & 26 St;0
24 Ave & 29 St;0
24 St & 38 Ave;0
24 St & 41 Ave;0
24 St & 5 Ave;0
25 Ave & 41 St;0
27 Ave & 3 St;0
27 Ave & 9 St;0
27 St & Hunter St;0
28 Ave & 35 St;0
28 Ave & 44 St;0
28 St & 36 Ave;0
28 St & 41 Ave;0
29 St & 5 Ave;0
3 Ave & 17 St;0
3 Ave & Carroll St;0
3 Ave & E 100 St;0
3 Ave & E 112 St;0
3 Ave & E 163 St;0
3 Ave & E 169 St;0
3 Ave & E 170 St;0
3 Ave & E 172 St;0
3 Ave & E 174 St;0
3 Ave & E 62 St;0
3 Ave & E 71 St;0
3 Ave & E 72 St;0
3 Ave & Franklin Ave;0
3 Ave & Schermerhorn St;0
3 Ave & Wakeman Pl;0
3 St & 3 Ave;0
3 St & 7 Ave;0
3 St & Hoyt St;0
3 St & Prospect Park West;0
30 Ave & 12 St;0
30 Ave & 21 St;0
30 Ave & 41 St;0
30 Ave & 47 St;0
30 St & 4 Ave;0
30 St & 48 Ave;0
31 Ave & 14 St;0
31 Ave & 30 St;0
31 Ave & 34 St;0
31 Ave & 57 St;0
31 Ave & 61 St;0
31 Ave & Crescent St;0
31 Ave & Steinway St;0
31 Pl & Hunters Point Ave;0
31 Rd & 21 St;0
31 St & 21 Ave;0
31 St & 23 Ave;0
31 St & Astoria Blvd;0
31 St & Broadway;0
31 St & Ditmars Blvd;0
31 St & Hoyt Ave N;0
31 St & Newtown Ave;0
31 St & Northern Blvd;0
31 St & Thomson Ave;0
33 St & 47 Ave;0
34 Ave & 13 St;0
34 Ave & 21 St;0
34 Ave & 31 St;0
34 Ave & 38 St;0
34 Ave & 45 St;0
34 Ave & 48 St;0
34 St & 35 Ave;0
34 St & 38 Ave;0
34 St & 4 Ave;0
34 St & 48 Ave;0
34 St & 5 Ave;0
34th Ave & Vernon Blvd;0
35 Ave & 10 St;0
35 Ave & 37 St;0
35 St & 21 Ave;0
35 St & 23 Ave;0
35 St & 30 Ave;0
35 St & 34 Ave;0
35 St & Broadway;0
36 Ave & 10 St;0
36 Ave & 31 St;0
36 St & 3 Ave;0
36 St & 4 Ave;0
36 St & 47 Ave;0
36 St & Ditmars Blvd;0
36 St & Hunters Point Ave;0
36 St & Queens Blvd;0
37 Ave & 35 St;0
37 Ave & 63 St;0
37 St & 24 Ave;0
38 Ave & 29 St;0
38 St & 30 Ave;0
38 St & Northern Blvd;0
39 Ave & 45 St;0
39 Ave & 54 St;0
39 Ave & 56 St;0
39 Dr & 52 St;0
39 St & 47 Ave;0
39 St & 50 Ave;0
39 St & Queens Blvd;0
4 Ave & 17 St;0
4 Ave & 26 St;0
4 Ave & 3 St;0
4 Ave & 9 St;0
4 Ave & E 12 St;0
4 Ave & Shore Road Dr;0
40 Ave & 9 St;0
40 Ave & Crescent St;0
40 St & Queens Blvd;0
41 Ave & 67 St;0
41 St & 3 Ave;0
41 St & 4 Ave;0
42 Pl & Northern Blvd;0
42 St & 1 Ave;0
43 Ave & 40 St;0
43 Ave & 42 St;0
43 Ave & 47 St;0
43 St & 23 Ave;0
43 St & 35 Ave;0
43 St & 37 Ave;0
43 St & 50 Ave;0
43 St & Broadway;0
43 St & Skillman Ave;0
44 Dr & Jackson Ave;0
44 St & 2 Ave;0
44 St & 3 Ave;0
44 St & 48 Ave;0
44 St & 6 Ave;0
44 St & Greenpoint Ave;0
45 Ave & 21 St;0
45 Rd & 11 St;0
45 St & 4 Ave;0
46 Ave & 5 St;0
46 St & 25 Ave;0
46 St & 28 Ave;0
46 St & 30 Rd;0
46 St & 6 Ave;0
46 St & 7 Ave;0
46 St & Queens Blvd;0
47 Ave & 31 St;0
47 Ave & 48 St;0
47 Ave & Skillman Ave;0
47 St & 3 Ave;0
48 Ave & 37 St;0
48 Ave & 41 St;0
48 Ave & 5 St;0
48 St & 2 Ave;0
48 St & 37 Ave;0
48 St & 5 Ave;0
48 St & 50 Ave;0
48 St & Barnett Ave;0
48 St & Broadway;0
48 St & Skillman Ave;0
49 Ave & 21 St;0
49 St & 25 Ave;0
49 St & 31 Ave;0
5 Av & W 139 St;0
5 Ave & 3 St;0
5 Ave & 37 St;0
5 Ave & 41 St;0
5 Ave & 66 St;0
5 Ave & E 103 St;0
5 Ave & E 135 St;0
5 Ave & E 29 St;0
5 Ave & E 63 St;0
5 Ave & E 72 St;0
5 Ave & E 78 St;0
5 Ave & E 87 St;0
5 Ave & E 93 St;0
5 Ave & W 126 St;0
5 Ave & W 131 St;0
5 St & 51 Ave;0
5 St & 6 Ave;0
5 St & Market St;0
50 St & 30 Ave;0
50 St & 7 Ave;0
50 St & Barnett Ave;0
50 St & Northern Blvd;0
51 St & 43 Ave;0
51 St & Hobart St;0
51 St & Queens Blvd;0
52 St & 1 Ave;0
52 St & 6 Ave;0
53 St & 2 Ave;0
53 St & 4 Ave;0
53 St & 5 Ave;0
53 St & Roosevelt Ave;0
54 St & 37 Ave;0
55 St & 5 Ave;0
55 St & 7 Ave;0
55 St & Northern Blvd;0
57 St & 1 Ave;0
57 St & 37 Ave;0
57 St & 4 Ave;0
57 St & 43 Ave;0
58 St & 2 Ave;0
58 St & 32 Ave;0
58 St & Pier 4;0
59 St & 4 Ave;0
59 St & 5 Ave;0
6 Ave & 12 St;0
6 Ave & 21 St;0
6 Ave & 55 St;0
6 Ave & 60 St;0
6 Ave & 9 St;0
6 Ave & Broome St;0
6 Ave & Canal St;0
6 Ave & W 33 St;0
6 Ave & W 34 St;0
6 Ave & W 45 St;0
6 Ave & Walker St;0
6 St & 7 Ave;0
60 St & 37 Ave;0
61 St & 39 Ave;0
61 St & Laurel Hill Blvd;0
61 St & Queens Blvd;0
61 St & Woodside Ave;0
62 St & 34 Ave;0
62 St & 4 Ave;0
62 St & 43 Ave;0
62 St & Northern Blvd;0
63 St & 5 Ave;0
64 St & 3 Ave;0
65 Pl & Woodside Ave;0
65 St & 2 Ave;0
65 St & 35 Ave;0
65 St & Broadway;0
65 St & Roosevelt Ave;0
67 St & Erik Pl;0
69 St & 43 Ave;0
7 Ave & 17 St;0
7 Ave & 20 St;0
7 Ave & 22 St;0
7 Ave & 40 St;0
7 Ave & 41 St;0
7 Ave & 62 St;0
7 Ave & Central Park South;0
7 Ave & Park Pl;0
7 Ave S & Bleecker St;0
7 St & 3 Ave;0
7 St & 5 Ave;0
72 St & 41 Ave;0
72 St & Woodside Ave;0
76 St & 21 Ave;0
8 Ave & W 16 St;0
8 Ave & W 24 St;0
8 Ave & W 27 St;0
8 Ave & W 31 St;0
8 Ave & W 33 St;0
8 Ave & W 38 St;0
8 Ave & W 49 St;0
8 Ave & W 52 St;0
8 St & Astoria Blvd;0
9 Ave & W 18 St;0
9 Ave & W 204 St;0
9 Ave & W 219 St;0
9 Ave & W 22 St;0
9 Ave & W 39 St;0
9 Ave & W 45 St;0
9 St & 44 Rd;0
Academy St & Nagle Ave;0
Adam Clayton Powell Blvd & W 115 St;0
Adam Clayton Powell Blvd & W 118 St;0
Adam Clayton Powell Blvd & W 123 St;0
Adam Clayton Powell Blvd & W 126 St;0
Adam Clayton Powell Blvd & W 130 St;0
Adam Clayton Powell Blvd & W 132 St;0
Adam Clayton Powell Blvd & W 138 St;0
Adam Clayton Powell Blvd & W 141 St;0
Adam Clayton Powell Blvd & W 151 St;0
Adams St & Prospect St;0
Adelphi St & Myrtle Ave;0
Albany Ave & Fulton St;0
Albany Ave & Park Pl;0
Albany St & Greenwich St;0
Albee Square W & Fulton St;0
Albemarle Rd & McDonald Ave;0
Alexander Ave & E 134 St;0
Allen St & Hester St;0
Allen St & Rivington St;0
Allen St & Stanton St;0
Amsterdam Ave & W 119 St;0
Amsterdam Ave & W 119 St (2);0
Amsterdam Ave & W 125 St;0
Amsterdam Ave & W 131 St;0
Amsterdam Ave & W 136 St;0
Amsterdam Ave & W 152 St;0
Amsterdam Ave & W 156 St;0
Amsterdam Ave & W 162 St;0
Amsterdam Ave & W 167 St;0
Amsterdam Ave & W 172 St;0
Amsterdam Ave & W 175 St;0
Amsterdam Ave & W 180 St;0
Amsterdam Ave & W 183 St;0
Amsterdam Ave & W 186 St;0
Amsterdam Ave & W 189 St;0
Amsterdam Ave & W 66 St;0
Amsterdam Ave & W 73 St;0
Amsterdam Ave & W 79 St;0
Amsterdam Ave & W 82 St;0
Anderson Ave & W 164 St;0
Andrew Ave N & Hall of Fame Tce;0
Andrews Ave S & W 179 St;0
Anthony Ave & E 175 St;0
Anthony Ave & E Tremont Ave;0
Aqueduct Ave & North St;0
Aqueduct Ave & W 190 St;0
Ashland Pl & Dekalb Ave;0
Astoria Park S & Shore Blvd;0
Atlantic Ave & Fort Greene Pl;0
Atlantic Ave & Furman St;0
Audobon Ave & W 179 St;0
Audubon Ave & Fort George Ave;0
Audubon Ave & W 192 St;0
Ave A & E 11 St;0
Ave A & E 14 St;0
Ave D & E 8 St;0
Avenue C & E 18 St;0
Avenue D & E 10 St;0
Avenue D & E 12 St;0
Avenue D & E 3 St;0
Bailey Ave & Sedgwick Ave;0
Bailey Ave & W 193 St;0
Bainbridge Ave & Bedford Park Blvd;0
Bainbridge Ave & E 193 St;0
Bainbridge Ave & E 196 St;0
Bainbridge Ave & E 198 St;0
Bank St & Hudson St;0
Bank St & Washington St;0
Banker St & Meserole Ave;0
Barclay St & Church St;0
Barrow St & Hudson St;0
Barry St & Tiffany St;0
Bay St & Court St;0
Bayard St & Baxter St;0
Bayard St & Leonard St;0
Beaver St & Fayette St;0
Beck St & Leggett Ave;0
Bedford Ave & Bergen St;0
Bedford Ave & Montgomery St;0
Bedford Ave & Nassau Ave;0
Bedford Ave & S 9 St;0
Bedford Park Blvd & Paul Ave;0
Bergen Ave & E 152 St;0
Bergen St & 4 Ave;0
Bergen St & Buffalo Ave;0
Bergen St & Flatbush Ave;0
Bergen St & Kingston Ave;0
Bergen St & Smith St;0
Bergen St & Troy Ave;0
Bergen St & Vanderbilt Ave;0
Berkeley Pl & 6 Ave;0
Berkeley Pl & 7 Ave;0
Berry St & N 8 St;0
Bialystoker Pl & Delancey St;0
Bleecker St & Crosby St;0
Boerum St & Broadway;0
Bond St & Bergen St;0
Boone Ave & E 172 St;0
Borden Ave & Review Ave;0
Boston Rd & E 167 St;0
Boston Rd & Prospect Ave;0
Botanical Sq & Webster Ave;0
Bradhurst Ave & W 148 St;0
Bradley Ave & Greenpoint Ave;0
Brevoort Pl & Bedford Ave;0
Bridge St & Water St;0
Bridge St & York St;0
Broad St & Bridge St;0
Broadway & 12 St;0
Broadway & 49 St;0
Broadway & 51 St;0
Broadway & Battery Pl;0
Broadway & Berry St;0
Broadway & E 14 St;0
Broadway & E 19 St;0
Broadway & E 21 St;0
Broadway & Ellwood St;0
Broadway & Furman Ave;0
Broadway & Hancock St;0
Broadway & Kosciuszko St;0
Broadway & Madison St;0
Broadway & Morris St;0
Broadway & Moylan Pl;0
Broadway & Roebling St;0
Broadway & W 122 St;0
Broadway & W 131 St;0
Broadway & W 133 St;0
Broadway & W 138 St;0
Broadway & W 142 St;0
Broadway & W 153 St;0
Broadway & W 155 St;0
Broadway & W 160 St;0
Broadway & W 165 St;0
Broadway & W 168 St;0
Broadway & W 185 St;0
Broadway & W 192 St;0
Broadway & W 220 St;0
Broadway & W 25 St;0
Broadway & W 29 St;0
Broadway & W 36 St;0
Broadway & W 37 St;0
Broadway & W 38 St;0
Broadway & W 41 St;0
Broadway & W 48 St;0
Broadway & W 51 St;0
Broadway & W 53 St;0
Broadway & W 56 St;0
Broadway & W 58 St;0
Broadway & W 61 St;0
Broadway & Whipple St;0
Bronx Shore Comfort Station;0
Brook Ave & E 138 St;0
Brook Ave & E 141 St;0
Brook Ave & E 148 St;0
Brook Ave & E 157 St;0
Brooklyn Ave & Prospect Pl;0
Brooklyn Bridge Park - Pier 2;0
Bruckner Blvd & Bryant Ave;0
Buchanan Pl & Grand Ave;0
Bulova Ave & Brooklyn Queens Expressway W;0
Bus Slip & State St;0
Bushwick Ave & Dekalb Ave;0
Bushwick Ave & Forrest St;0
Bushwick Ave & Furman Ave;0
Bushwick Ave & Harman St;0
Bushwick Ave & Linden St;0
Bushwick Ave & McKibbin St;0
Bushwick Ave & Powers St;0
Bushwick Ave & Stagg St;0
Butler St & Court St;0
Cabrini Blvd & W 177 St;0
Cadman Plaza E & Red Cross Pl;0
Cadman Plaza E & Tillary St;0
Calyer St & Guernsey St;0
Calyer St & Jewel St;0
Cambridge Pl & Gates Ave;0
Canal St & Rutgers St;0
Carlton Ave & Dean St;0
Carlton Ave & Flushing Ave;0
Carlton Ave & Park Ave;0
Carlton Ave & St Marks Ave;0
Carroll St & 5 Ave;0
Carroll St & 6 Ave;0
Carroll St & Bond St;0
Carroll St & Columbia St;0
Carroll St & Franklin Ave;0
Carroll St & Smith St;0
Carroll St & Washington Ave;0
Cathedral Pkwy & Broadway;0
Catherine St & Monroe St;0
Caton Ave & Argyle Rd;0
Caton Ave & E 10 St;0
Caton Ave & E 7 St;0
Cauldwell Ave & E 158 St;0
Cauldwell Ave & E 161 St;0
Cedar Ave & W Fordham Rd;0
Cedar St & Evergreen Ave;0
Cedar St & Myrtle Ave;0
Center Blvd & 48 Ave;0
Center Blvd & 51 Ave;0
Central Ave & Covert St;0
Central Ave & Decatur St;0
Central Ave & Flushing Ave;0
Central Ave & Himrod St;0
Central Ave & Melrose St;0
Central Ave & Starr Street;0
Central Ave & Weirfield St;0
Central Ave & Woodbine St;0
Central Park North & Adam Clayton Powell Blvd;0
Central Park S & 6 Ave;0
Central Park W & W 103 St;0
Central Park W & W 91 St;0
Central Park W & W 97 St;0
Central Park West & W 68 St;0
Central Park West & W 72 St;0
Central Park West & W 76 St;0
Central Park West & W 85 St;0
Centre St & Chambers St;0
Centre St & Seneca Ave;0
Centre St & Worth St;0
Charlotte St & Boston Rd;0
Chauncey St & Howard Ave;0
Chauncey St & Malcolm X Blvd;0
Chauncey St & Stuyvesant Ave;0
Cherry St;0
Chester Ave & 12 Ave;0
Christopher St & Greenwich St;0
Church Ave & McDonald Ave;0
Church Ave & Story St;0
Church St & Worth St;0
Clark St & Henry St;0
Classon Ave & St Marks Ave;0
Classon Ave & St Marks Ave (2);0
Clay Ave & Claremont Pkwy;0
Clay Ave & E 173 St;0
Clermont Ave & Lafayette Ave;0
Clermont Ave & Park Ave;0
Cleveland Pl & Spring St;0
Cliff St & Fulton St;0
Clinton Ave & Flushing Ave;0
Clinton Ave & Myrtle Ave;0
Clinton St & 4 Place;0
Clinton St & Centre St;0
Clinton St & Cherry St;0
Clinton St & Grand St;0
Clinton St & Joralemon St;0
Clinton St & Tillary St;0
Clinton St & Union St;0
Coffey St & Conover St;0
Coffey St & Ferris St;0
College Ave & E 170 St;0
Columbia Heights & Cranberry St;0
Columbia St & Degraw St;0
Columbia St & Kane St;0
Columbia St & Lorraine St;0
Columbia St & Rivington St;0
Columbia St & W 9 St;0
Columbus Ave & W 103 St;0
Columbus Ave & W 72 St;0
Columbus Ave & W 95 St;0
Commerce St & Van Brunt St;0
Concord St & Bridge St;0
Concourse Village East & E 158 St;0
Concourse Village West & E 156 St;0
Congress St & Clinton St;0
Congress St & Hicks St;0
Convent Ave & W 135 St;0
Convent Ave & W 151 St;0
Cooper Square & Astor Pl;0
Court St & Nelson St;0
Court St & State St;0
Courtlandt Ave & E 149 St;0
Crescent St & 30 Ave;0
Crescent St & 34 Ave;0
Crescent St & 35 Ave;0
Crescent St & Broadway;0
Crescent St & Ditmars Blvd;0
Creston Ave & E 178 St;0
Creston Ave & E 181 St;0
Crotona Park East & E 173 St;0
Crotona Park North & Prospect Ave;0
Cumberland St & Lafayette Ave;0
Cypress Ave & George St;0
Cypress Ave & Palmetto St;0
Dahill Rd & 12 Ave;0
Davidson Ave & W Burnside Ave;0
Dawson St & Intervale Ave;0
Dean St & Franklin Ave;0
Dean St & Hoyt St;0
Decatur Ave & Bedford Park Blvd;0
Decatur Ave & E 197 St;0
Decatur Ave & Oliver Pl;0
Decatur St & Saratoga Ave;0
Degraw St & Hoyt St;0
